Protein,NGRN,ANXA2P2,FGFRL1,MDGA2,C1QB,WFDC12,PLA2G10,IL1RAPL2,WFDC2,F174B_Epitope-1,SPINK7,EFNA4,IGF1,ASTL,C1QB,CRLF2,C5A,FZD9,FAM24A,FAM187A,IFNA17,ANGPTL2,KCNA6,NKAI1_Epitope-2,TNFSF18,PRH1;,PTH1R,MMP3,CCRL2,FZD4,ERVK-24,LRRTM4,PINLYP,C1RL,INS,MICB,SC5A3_Epitope-4,LGALS7,TRPM7_Epitope-1,ITPRIPL1,EFNA1,IGF2R,CD69,ADCYAP1R1,RTBDN,SIGLEC16,SMR3A,EDA2R,BPIFA4P,TRPM7_Epitope-1,CST5,RS1,CAC1F_Epitope-6,DKKL1,IL17A,FAM24B,WNT7A,TIGIT,ADAM30,AXL,CD79B,NRG4,CSF2RB,UNC5D,COLEC11,SCUBE2,LRRC52,VPREB1,CAC1S_Epitope-3,CCKAR,WFDC12,SSTR2,BMP6,DNASE1L3,IL4,CALCRL,CLDN1,LYSMD4,IL36B,AMY2A,ABHD17B,SPARC,APCDD1,LDLRAD3,IL18,TFF3,COLEC12,FGL2,HAPLN2,PLA2G2C,TMEM123,GPR83,MOG,KRTDAP,LYPD6B,IGSF8,RNASE3,UGT3A1,DCN,DGCR2,NGRN,CAC1D_Epitope-9,TM2D2,SCGB2B2,GABRG3,MANSC1,PTGDS,LY96,TCTN1,NTRK2,LRRC21,VMP1,ANO9_Epitope-3,IL15RA,SCN2B,SYCN,AT134_Epitope-1,VPREB3,CEACAM5,MARCO,SNORC,VEGFA,TM9SF3,EPHA1,NPPA,TNFRSF12A,CES3,FAM3D,FGF17,HTR1B,OC43 S1,CSAG1,FAM187A,AMN,HSD17B13,NID1,PGC,BTN3A3,S6A17_Epitope-2,CREG1,TCTN3,UGT2B17,LGALS3BP,CAC1G_Epitope-9,C1QTNF2,CASP4,SLC5A8,IMPG1,GPR75,DPEP2,NCKX1_Epitope-1,TXNDC12,CD69,TMEM169,SLC34A2,EDDM3B,DEFA6,DPEP1,SCARF1,KIR2DL2,HBEGF,ITGA5,SO6A1_Epitope-5,CD300E,C9orf135,GPR19,CLDN19,PLXDC2,GRIK3,LRRC19,FJX1,LMBRD2,UGT1A1,CCDC47,EGF,UCMA,MICB,DEFB130B,FCGR2A,C1orf32,IL2RG,F2,PDIA6,MSMP,NGRN,KLRC1,NT5E,NXPE3,C5orf46,SEMA4C,SFRP4,SO1C1_Epitope-5,TNFRSF10B,TNFRSF12A,LAMA3,IL35_sc,NPDC1,NMDZ1_Epitope-2,P2RY13,SLC22A9,SUSD6,FAM19A2,TMEFF2,ADAM30,PTPRN2,SPACA7,CXCR1,TM7SF3,UPK1B,ENPP3,ABHD15,PF4,PRSS57,SFRP5,PRSS3P2,SPINT3,C11orf24,CHRNG,DNASE1L3,LYG1,NRN1,TEX29_Epitope-1,HBEGF,FKBP11,ADAM20,NPBW2,NTSR1,TENM1,FBN3,PTPRA,BTC,CAC1A_Epitope-3,MATN2,GPR25,SLC22A11,HIDE1,C7orf69,MFAP3,IL6R,GPX5,C15orf61,DNASE2B,ICOS,ASPN,XCL1,MMP25,CLDN2,FKBP10,LCN2,C3AR_Epitope-3,GFRA3,SPAG11A,BTLA,GPR124,TSPAN13,PRSS58,CCL2,ENDOU,AMIGO1,S1PR1,TSPAN33,PCDHB11,VEGFC,BPIFC,GKN3P,GPR120,UNQ5830/PRO19650/PRO19816,VNN1,CST9L,NCAN,ANO9_Epitope-4,BSPH1,OGN,FLT3,GABRA2,CLEC2D,NTNG2,FLJ46089,GRN,TGFBR3L,CSPG5,TRPM7_Epitope-1,DKK2,MFAP2,SGSH,APOA4,SPINK7,ADCYAP1,ISLR,SSTR4,CAC1D_Epitope-9,ENH3,EDNRA,CAC1F_Epitope-3,PLXDC1,TMEM156,TM9SF3,TMEM132A,HYAL4,IGF2R,C1orf233,PLA1A,IMPG2,SIRPB2,EFNA2,BTNL8,MAS1L,SFTPA1,GNRH2,SBSPON,IGFBP4,VWA2,SLC6A13,LIPM,CCR2,SLC8B1,FAM174A,LYZL1,LMBRD2,RDH5,BSG,OCSTP_Epitope-2,FGF4,SLC5A8,FITM1,SNORC,LYZ,LBN_Epitope-1,KLK15,MMP2,SPACA3,LSR,CTL4_Epitope-3,MFSD8_Epitope-5,IL10,KLK3,NCSTN,SLURP1,IGFL4,WFDC3,KLK9,IL12B,SGCB,LCN8,CXCL9,PLA2G12A,CLCF1,FSHR,KCNA5_Epitope-1,PCYOX1,SPACA4,CCR6,FZD7,PRRG4,ERVK13-1,SCGB2A1,SERPINI1,DEFB116,SGCD,SSTR2,PIGR,AREG,CD68,BPIFB3,FAT2,ITGA6,OMD,ART5,MMP24,IDE,CKAP4_Epitope-1,CD320,EPHB1,SIRPA,TMIGD2,LAIR1,MUSK,ISLR2,RAMP3,VSIG1,CSF1R,ALPPL2,LACRT,DUOXA2,SCGB2B2,MIF,PRRT3,LPL,GABRE,KCMA1_Epitope-1,FURIN,PROM1_Epitope-2,REG3G,CLDN8,SHISA4,EMID1,FZD8,BTLA,INSL4,LHFPL1,TSPAN2,ACKR2,PF4V1,TMPRSS11D,PDGFA,FXYD5,FLJ46089,UNQ5830/PRO19650/PRO19816,TPBGL,ARSK,GDNF,SFRP2,IL36B,ACVRL1,AQP10,LTA,B3A4_Epitope-1,PTH1R,SGCA,CREG2,KCNK1,AVP,CA11,APOA5,EPHB6,LRRC55,APMAP,VPREB3,PVRL2,CCL11,MCFD2,SAA4,SPARCL1,TCTN1,LCN12,SMOC2,LRP10,IGLL5,IFNA5,TNFRSF19L,PLA2G2A,CXCL12,NRG1,PRR27,CHRNA4,CNTN2,ASAM,NEU1,IGFBP4,S100A7,APOA5,RNASE6,DMKN,IL12RB2,TM4SF6,FGFRL1,KIR2DS2,PCDHGB6,TMEM119,BY55,MCP,CD164L2,GZMM,PSCA,SLC38A2,HAPLN4,P2RX5,SLC2A10,CSF3,TNFRSF1B,ALPL,IGSF21,ALPPL2,SEMA4D,STIM2,HAPLN2,OPRL1,EGFL3,ALPI,LILRA1,PNLIPRP1,PROCR,TMEM235,ICAM1,SUSD4,UGT1A1,IGFBP4,SCARF2,LRRN3,KCNMB1,FIGF,ALB,CD164,NPY1R,IGFL1,IL17RA,TM2D3,FSTL1,APOM,PTX3,PVRL2,MYORG,NID1,IBSP,PRNT,HYAL4,TYROBP,ECM1,OR1L1_Epitope-1,CD55,GPR25,NTRK1,PLBD1,SGSH,NINJ1,RAET1L,TXNDC15,SMR3A,GP6,AMN,CD81,NTN5,NXPH3,PCDHB6,PTN,RXFP1,NPC2,SMR3B,MICA,MIF,TNFRSF5,C17orf77,OLFML1,PCDH20,CRLF1,IZUMO2,BGLAP,EPPIN,SHISA9,LGALS1,VSTM1,SLC22A9,CLPTM1,GZMH,GCGR,IL17A,BTNL8,TM9SF1,GPR110,PLA2G12A,CGB7,METTL7B,WNT1,SGCA,SLC6A13,METTL7B,TFF1,PLA2G1B,REG3G,DSC2,LMBRD1,PIGR,BOC,CST9L,LRRC32,STC1,FCRLB,CAC1B_Epitope-9,LBP,PCDHGC3,CNPY2,C10orf25,LMBRD1,NCR2,IL1RL1,ATP2C2,PROKR2,PRSS47,PLOD3,SCN9A_Epitope-3,ANGPTL5,HCG22,CLEC6A,SV2C,MMP16,CLEC4C,CAC1H_Epitope-9,TPSAB1,NPR3,LIPF,SLC34A3,SMPDL3B,C1QTNF4,DNASE2,MESD,GPR133,C1QTNF5,BMPR2,FSTL3,NENF,HLA-DRB3,PAMR1,PTX4,CLEC12B,FAM171A1,P4HA2,LRRTM4,NCR3,IL19,CTL4_Epitope-3,GDF2,LY86,QPCT,R3HDML,FKBP14,ITPRIPL1,CNTN2,MESD,SCGB3A1,DPT,TNFSF14,SO6A1_Epitope-5,HTR3B,TM2D1,TTYH1_Epitope-3,IFNB1,LY75,PI3,SLC22A31,TNA,CHRNA6,VSTM1,ERVK13-1,GDF1,NIPAL4,AZGP1,GPR75,TMEM59,ABHD2,KIR3DL2,FCRLM1,IER3,AMY2B,CAC1H_Epitope-12,VSIG8,SLC5A8,UTS2R,FAM24B,TWSG1,CHGA,CHI3L2,KIR3DX1,IMPG2,RAET1E,PLXDC1,SLC34A3,SSTR2,LILRB2,CCDC126,PDIA3,LRRC21,IL6ST,PRRG4,SO1A2_Epitope-5,CDH8,TNFRSF1B,SHISAL1,CD300A,MAGT1,SLC29A4,S2611_Epitope-7,ALPI,CDH1,SOST,VWC2,CXCL12,IGSF8,PATE4,IL24,CD44,ITPRIPL1,GABRB2,CCL15,IL17A,CDH24,LIPM,PEBP4,HTR2B,S4A4_Epitope-3,CCL25,BSPH1,SPACA3,DUOXA1,GP179_Epitope-1,PODN,SERPINA10,HAVCR2,PRLR,KERA,SLC44A5,PRRG4,AMHR2,KIRREL2,IL6R,SPACA7,PIP,IL3,TM9SF1,GLT1D1,TSPAN9,UNQ6494/PRO21346,TFPI2,RHBDD1,KIR3DP1,TFPI2,ZP4,CHGA,PLA2G1B,FCGR2A,LIFR,TIMP4,UGT1A3,NPCL1_Epitope-1,LY9,LECT2,CFHR1,FGL1,SLCO1B1,PLBD1,RET,AQP10,DCD,DGAT2L7P,ALPP,DEFB115,EDNRA,KLKB1,GRID2_Epitope-2,CCL8,SPRN,AGA,TNFRSF13C,WNT2,BMP7,CLPTM1,SLC8B1,ADRA1B,PNLIP,TPSAB1,BMP7,SHISA6,UCMA,DGCR2,FLRT1,IL36B,MDK,C2orf66,IL17BR,C1QL3,DQA2_Epitope-1,TMEFF1,CHRNB3,GHRHR,GDF9,IL35_sc,CAC1H_Epitope-3,C21orf62,ART1,SMPDL3A,C1orf54,SIRPG,CALU,KISS1,NRN1,SERPINA1,LRFN5,UGT8,MDGA2,CXCR1,TPSD1,PRSS3,IL1R2,GPR110,GPR19,OLR1,CLPS,PAMR1,SLC6A13,TEPP,HTR1B,DEFB113,IL12RB2,PLA2G10,PRRG4,RAET1L,TRPM3_Epitope-1,TSPAN3,ABCA7_Epitope-2,MFSD8_Epitope-5,SLC22A9,ACVR2B,IL1RAPL1,IFNA17,NMDE3_Epitope-2,PCYOX1L,STC1,HSPA13,C10orf25,IFNE,GPR34,SC6A6_Epitope-1,GREM2,MENT,CTSS,CES1,METTL24,PDCD6IP,PROKR2,ACKR2,RNF148,ESM1,MANSC4,ZP3,GPR133,ITGA5,P_Epitope-3,PSG4,TNFRSF10A,EMCN,FGF8,RTBDN,RCN2,AMY2A,LOC348174,TNFRSF11B,GUCY2C,PTPRC,SPACA7,ADRA2A,BACE2,GRID1_Epitope-2,SPARC,CTSO,FZD7,SEMA6C,ST14,AREG,FZD7,NXPH3,CRISP1,PRSS33,PRR4,SPACA5,PDIA6,NINJ1,GPR45,EFNB1,REG1B,CCL20,ART5,OBP2A,SLC6A8,NXPH1,CCL19,SC5A2_Epitope-4,GAS6,BDKBR1,MFAP3L,NOV,P2RY13,PF4V1,SO1A2_Epitope-5,S1PR4,EDDM3A,C6,CHRNA6,ENTPD2,DEFB130A,ART4,CD300LG,NCKX4_Epitope-1,CAC1I_Epitope-12,SLC24A3,TNFRSF11A,TRABD2B,GABRD,FLT1,SAA2,SHISA2,SHISAL1,PLXDC1,FAM19A1,TAS1R3,LRFN4,COCH,GPR25,SEMG1,PRRP,IL36B,MANF,SGCD,LYZL1,SLC8B1,HEXB,HKU1-RBD,REG4,TSHR,CLDN9,TM7SF3,PLXDC2,FETUB,CAC1D_Epitope-12,LMBRD2,GPR75,SCNBA_Epitope-3,CTL2_Epitope-1,SLC20A1,S12A6_Epitope-3,EPHA6,DUOXA2,INSL5,NXPE3,GABRP,ANGPTL5,CNPY3,GML,F7,IL35_sc,NETO1,PROM1_Epitope-1,S6A16_Epitope-2,FLJ36131,TECTB,LIPN,TFPI,UGT2A1,SPINT3,OR1L1_Epitope-1,F174B_Epitope-1,HEPH,SLC10A5,CGA,NYX,LAG3,SERPINA7,IL27,TMEM9,KISS1,RLN1,SLC2A10,ZACN,C1orf134,CLEC11A,TMC5_Epitope-1,LPL,NGFR,SLC22A5,GAL1,SC6A6_Epitope-1,ADRA2A,CST7,ASIC1,CDH1,FGF21,FNDC4,LY6H,S4A8_Epitope-3,PRSS58,AGER,TAS1R3,APOO,NXPH2,PRNT,TMC3,EFNA1,ANGPTL2,GPR133,MFAP3L,DDRGK1,ITPRIPL1,IDE,KLK4,MIF,SIGLEC5,TGFA,TREM2,AGA,EPHB4,JAM3,PSG5,CSH2,BDKBR2,INSL6,DPEP2,LIFR,LHCGR,LRRC32,SLC6A1,MICB
Barcode,x63971,x19589,x29956,x26692,x49595,x60064,x65257,x25858,x53948,x39927,x16867,x21519,x02954,x03803,x58330,x10878,x51453,x40098,x37725,x03363,x00909,x22454,x50569,x48389,x49756,x52514,x50687,x51249,x27144,x54310,x44083,x57757,x53247,x18415,x27047,x23684,x48146,x25052,x25241,x44239,x35767,x64549,x66541,x60579,x47080,x11958,x47672,x37253,x08198,x00837,x08593,x59350,x23305,x28839,x55355,x43774,x35872,x31658,x19714,x61075,x26169,x41909,x26363,x60372,x19725,x19289,x44310,x52471,x03178,x13040,x68051,x11217,x51416,x00175,x58145,x20604,x03394,x26187,x42142,x41704,x18250,x56278,x55215,x07991,x09193,x69682,x43816,x49125,x09890,x33245,x27819,x60244,x14159,x16832,x69198,x26408,x42717,x23424,x50916,x03251,x22632,x28897,x37850,x08406,x09824,x34654,x30420,x27136,x47401,x47526,x49386,x16208,x28886,x38489,x34800,x46730,x02287,x36096,x48529,x01973,x60542,x36407,x55202,x31821,x43274,x45599,x20698,x67215,x31065,x58362,x38571,x69623,x49603,x30457,x46423,x60358,x41063,x05861,x40525,x08473,x09392,x44141,x61044,x59065,x59324,x30167,x33810,x33331,x06380,x68605,x03882,x49972,x47888,x45563,x47961,x41316,x33360,x47081,x26068,x02890,x51877,x54936,x28806,x67178,x18491,x05209,x52291,x13417,x37628,x47358,x15102,x40184,x16454,x07988,x45807,x01589,x37390,x49587,x07609,x09496,x20833,x38246,x42127,x38363,x33962,x54665,x69608,x07610,x07968,x44145,x32511,x61615,x65388,x37867,x53857,x44998,x44896,x06462,x51189,x48010,x26439,x09600,x42487,x28641,x67107,x48687,x03063,x21936,x47729,x25622,x54303,x63322,x33299,x13615,x63995,x16217,x06070,x67080,x04598,x08171,x67666,x29941,x50277,x47648,x65673,x53242,x51511,x45448,x21396,x08550,x36801,x23536,x38369,x04928,x22944,x40362,x36091,x33877,x51464,x53814,x69687,x44483,x05287,x23316,x22757,x07997,x44276,x49071,x65262,x44714,x28243,x21130,x07761,x41143,x10782,x15552,x58256,x18069,x23965,x36551,x68581,x00261,x57800,x35928,x69007,x23301,x59132,x65136,x37526,x01116,x47340,x55864,x64102,x24972,x28491,x38054,x65512,x43934,x59955,x22897,x48816,x48624,x66362,x00905,x43695,x64876,x54079,x15741,x42288,x06035,x60833,x39869,x05145,x18681,x49432,x53385,x32610,x03139,x09185,x42071,x41502,x56001,x50020,x21827,x18443,x43768,x38560,x20156,x46176,x12714,x30112,x26294,x07869,x65089,x64753,x04502,x01908,x41878,x34270,x26659,x62670,x60174,x09189,x58328,x08940,x16038,x36193,x00517,x50945,x36198,x26321,x42192,x55641,x37520,x60062,x44150,x55598,x06397,x50173,x32290,x02238,x15241,x43646,x08027,x03369,x36886,x62113,x39256,x35811,x60680,x05532,x04615,x29607,x69692,x08474,x03753,x11956,x28006,x36883,x26463,x07386,x48065,x11330,x35513,x30307,x23656,x10768,x20795,x35812,x44922,x12540,x10840,x49724,x68878,x63376,x42151,x66553,x44199,x01839,x17747,x27394,x32822,x21873,x51176,x39467,x66880,x54884,x58968,x26223,x58580,x02615,x41659,x35863,x62900,x60339,x11741,x54408,x14788,x00550,x20624,x10982,x58936,x44725,x45288,x42756,x08269,x30674,x37202,x41357,x12624,x39032,x07480,x63896,x25285,x52402,x35745,x19393,x68860,x29063,x40274,x34689,x44970,x63867,x55363,x04557,x53370,x08545,x02317,x33153,x52157,x32354,x53913,x35053,x40922,x39115,x41921,x53266,x35932,x34359,x30773,x05619,x64786,x07429,x20368,x27620,x15978,x69302,x17529,x28780,x56965,x42923,x61415,x26396,x67833,x21666,x33316,x49732,x02410,x20756,x68097,x61719,x00177,x49819,x16348,x16108,x45902,x66070,x60533,x39577,x22363,x06598,x26903,x34362,x59516,x47119,x67896,x49341,x53114,x15781,x06146,x46236,x01976,x54073,x12818,x15015,x54698,x66695,x43920,x21365,x36427,x38973,x34483,x12522,x09350,x13478,x25968,x38326,x08014,x16878,x49891,x55835,x45921,x06166,x26763,x06469,x06772,x68730,x50774,x37924,x43013,x54032,x65819,x08158,x11615,x44325,x59610,x34963,x47144,x56218,x17535,x35180,x31111,x32400,x67388,x27274,x16854,x46494,x59493,x29263,x11836,x63701,x02834,x54375,x59168,x06292,x68449,x42351,x08344,x43043,x12379,x58960,x38880,x19732,x50568,x65473,x63454,x13210,x61259,x60168,x27983,x00848,x05826,x13374,x34622,x63162,x27720,x69080,x43881,x38427,x29697,x52035,x30564,x23070,x43118,x26287,x07628,x52390,x24463,x29277,x19928,x04910,x37310,x32566,x60119,x34711,x32504,x63661,x68183,x50541,x42759,x57394,x50728,x53640,x32852,x28981,x28514,x44104,x47495,x60520,x33344,x52381,x55662,x24944,x40920,x42502,x24988,x31034,x15774,x29027,x16193,x62983,x48838,x50368,x51295,x47943,x04041,x63549,x16240,x17661,x21833,x12238,x51068,x53730,x08205,x61073,x21327,x44151,x58616,x45080,x68697,x07663,x28017,x08952,x56670,x65478,x30599,x05029,x21675,x48831,x61570,x13029,x58205,x54894,x32431,x33562,x02188,x13876,x30359,x57041,x51143,x38340,x57652,x34855,x02883,x39549,x57672,x37235,x48556,x23982,x50580,x11715,x60217,x10818,x28833,x06298,x29686,x07089,x23261,x47328,x26988,x14699,x55386,x41058,x45541,x52867,x57906,x09288,x00232,x47155,x57155,x57342,x39675,x68762,x50328,x39548,x54557,x23256,x15334,x27600,x04448,x00137,x46160,x33182,x17462,x48492,x10833,x61068,x16117,x52719,x17578,x64628,x32634,x35097,x66107,x00594,x00914,x08415,x36443,x34490,x40522,x11778,x45479,x21402,x49783,x62275,x34820,x37502,x22480,x02761,x56722,x61479,x28717,x19518,x28668,x09275,x01301,x23365,x47740,x53506,x08750,x29328,x61062,x13230,x15258,x64783,x33317,x00591,x37200,x53956,x37899,x31629,x68748,x65162,x43894,x00773,x09791,x35612,x30373,x48692,x46605,x24680,x53502,x07217,x13512,x13649,x42067,x30175,x00492,x09199,x57091,x68122,x30128,x58844,x64176,x37999,x52790,x40301,x09621,x21545,x29984,x23504,x27087,x65792,x51321,x06153,x28973,x59674,x69485,x58019,x69173,x02549,x06963,x67963,x39820,x36717,x19801,x51343,x35884,x55442,x46992,x69631,x41051,x20577,x05699,x27640,x48310,x42527,x51802,x24733,x29712,x25977,x44690,x00777,x00281,x51206,x56203,x53464,x13490,x23361,x30955,x37828,x67839,x45955,x36566,x09999,x02868,x17133,x05485,x52441,x08362,x35866,x68982,x67252,x28601,x66704,x12447,x20183,x28360,x61092,x58521,x62390,x47332,x16631,x34328,x62203,x02958,x47476,x39427,x54428,x05409,x18801,x06558,x67718,x52175,x60861,x25891,x35419,x59889,x65844,x56602,x24540,x47302,x65170,x07687,x69405,x68524,x47237,x11242,x39341,x05654,x14272,x30895,x65303,x66949,x11524,x56656,x42992,x42164,x13444,x32069,x16313,x21954,x33076,x11305,x39080,x07340,x46656,x22051,x08337,x32209,x31826,x52823,x13432,x00987,x63216,x08193,x21811,x63651,x07580,x64012,x19176,x68429,x02813,x59107,x50649,x38953,x48022,x25722,x41086,x14010,x36598,x42995,x33427,x06362,x16047,x33365,x59540,x29296,x09152,x64924,x07171,x23429,x58206,x34386,x44870,x66187,x09432,x38212,x27526,x40852,x13543,x02726,x24555,x08594,x60159,x03488,x51386,x57895,x67118,x59289,x54759,x30401,x10655,x28802,x36047,x04950,x03439,x62574,x26061,x29526,x14448,x47241,x40761,x39085,x29593,x64793,x14426,x31481,x29424,x03603,x13662,x29568,x28325,x03655,x49088,x52211,x06082,x01180,x23000,x51902,x35203,x67929,x36612,x16385,x29822,x64958,x08640,x10391,x67559,x25632,x54024,x49375,x59742,x42894,x25483,x67611,x01151,x55547,x32271,x26795,x29583,x65637,x33553,x55834,x34072,x28315,x31879,x65487,x45984,x42603,x10528,x08642,x21115,x31014,x23815,x49847,x67310,x07801,x15923,x11914,x29469,x19254,x28215,x23015,x61820,x00956,x21576,x06475,x30518
Pre-run3-plt20,0,0,0,0,0,0,0,0,16,0,564,26,22,15,33,13,17,65,0,0,6,0,1,35,16,0,0,0,0,11,12,0,28,1,0,0,12,45,1,0,1,0,1,18,10,0,12,1,10,0,0,0,60,692,7,0,7,8,0,46,2,0,9,14,0,0,1,0,7,5,0,1,6,3,0,1,2,19,0,6,0,0,0,0,2,0,0,1,1,0,10,9,4,0,3,0,0,0,3,4,0,0,10,0,0,9,4,0,32,0,0,0,5,0,0,8,2,0,0,0,1,9,0,13,0,0,4,15,81,3,0,34,0,7,0,6,0,5,0,2,0,10,0,7,3,0,0,2,19,0,1,0,0,0,1,16,8,7,0,9,1,1,0,0,7,1,0,2,2,0,1,0,6,0,0,0,3,12,7,6,2,0,0,18,0,9,3,0,3,7,15,11,16,0,0,6,28,0,18,13,0,0,0,0,12,0,7,0,19,0,7,0,6,1,0,40,0,0,0,9,0,10,0,12,0,39,1,0,0,0,21,5,0,0,0,31,0,0,5,0,0,0,0,0,0,5,1,0,14,0,0,8,0,7,1,6,12,10,0,0,0,0,0,0,1,0,5,0,8,2,0,0,1,6,0,3,0,0,22,15,36,27,0,14,0,5,0,24,0,13,0,1,1,0,0,0,0,0,0,1,0,12,0,0,5,15,0,39,1,0,46,12,0,0,0,10,18,0,5,0,0,2,0,0,20,3,0,1,6,0,0,41,0,3,0,4,0,0,2,9,7,5,0,0,19,2,3,0,31,4,47,36,52,0,4,3,0,2,2,0,17,0,2,0,0,0,0,38,0,0,0,18,0,27,12,0,0,0,0,0,0,15,0,7,0,0,25,380,0,1,0,2,30,0,0,2,10,11,30,18,0,51,6,0,0,17,0,2,0,1,0,0,0,18,7,0,2,1,0,0,7,0,1,0,0,0,0,3,12,2,0,0,8,0,15,0,6,2,0,8,13,15,0,0,10,2,4,0,9,5,0,1,5,0,0,8,0,4,23,0,0,0,8,0,10,0,0,7,14,0,6,0,2,2,0,0,7,20,19,0,0,8,10,27,0,1,35,0,0,0,0,0,0,16,0,1,0,1,0,0,10,0,0,0,24,0,3,0,8,0,0,6,14,11,0,9,0,0,9,4,7,0,5,1,0,0,0,0,6,4,0,41,0,10,32,0,2,7,0,3,16,0,0,0,0,0,14,33,3,0,2,0,0,14,3,0,2,0,21,5,15,0,12,0,3,11,0,1,0,1,10,0,0,21,0,0,4,0,15,0,4,23,0,0,0,1,0,13,0,0,0,0,19,8,10,0,0,23,3,0,15,0,0,3,8,7,0,0,0,2,6,4,0,0,0,0,0,0,0,3,0,22,0,15,12,0,0,9,0,0,5,7,0,0,10,6,0,23,0,0,8,10,1,0,6,0,0,0,0,9168,0,0,7,16,18,7,6,1,0,0,0,11,0,5,0,3,17,17,1,8,2,1,0,0,0,0,0,0,8,3,17,11,4,0,12,30,53,22,22,0,0,0,9,1,0,0,0,3,0,0,0,0,6,0,0,0,18,0,0,0,5,8,0,0,6,7,2,2,12,0,9,0,15,0,0,10,11,44,0,18,0,34,44,14,0,8,0,8,0,1,0,0,3,6,0,1,0,2,2,3,0,0,10,0,0,3,0,0,0,14,0,1,8,5,0,0,0,15,24,0,0,6,3,15,0,1,0,0,12,0,0,0,2,0,0,8,4,0,0,5,15,11,1,0,0,1,1,4,18,1,0,1,8,2,0,2,1,0,1,5,0,11,5,6,35,0,0,6,6,13,0,9,10,0,0,30,2,10,0,33,1,0,11,0,0,0,4,0,0,6,0,5,0,0,0,19,0,23,6,0,0,0,0,2,17,7,27,0,8,30,16,0,0,6,0,5,13,3,0,0,2,0,15,0,0,0,0,2,2,0,15,0,0,30,13,0,0,1,4,23,0,0,8,16,0,3,16,0,1,0,0,0,4,0,19,0,0,1,0,11,0,13,28,4,3,14,0,13,6,18,1,1,7,10,0,3,3,27,0,9,11,0,1,0,5,0,4,1,0,0,0,0,0,10,0,3,46,46,8,3,0,20,0,0,5,20,0,21,0,19,2,36,0,2,0,0,10,0,19,32,0,0,0,0,18,0,4,14,7,10,0,0,0,0,15,0,0,0,2,0,4,0,0,16,9,0,0,0,0
