Protein,ENPP7,SL9A1_Epitope-1,GCNT7_Epitope-1,UNQ5830/PRO19650/PRO19816,IL10RB,CCL20,RAET1G,LDLRAD2,CD63,SFTA2,CLDN1,CTSV,ELFN1,NTRK1,SLC6A9,TYRO3,RSPO4,CTL2_Epitope-1,GRIK2_Epitope-2,TFPI2,ENPP7,UPK1B,TNXB,CDH13,SCARA3,METTL7B,P2RX5,ICOSLG,ANGPTL5,ANO8_Epitope-2,C1orf159,IGFBP6,BGLAP,SGSH,CRTAP,MIA2,LY6G6F,F9,SEMG2,F1712_Epitope-1,GAL,TGFBR3L,CPA1,LTB,SC6A3_Epitope-1,OSMR,PCDHB9,ABCA1_Epitope-2,PDPN,NPFF2_Epitope-1,TMPRSS5,TWSG1,GLB1,LILRA4,SERPINB5,KLK15,CCL25,CLDN18,CD97_1_2_5,FAM172A,CLEC14A,PGA4,SCUBE2,NCKX4_Epitope-1,MRGPRF,IL17D,LYPD1,C11orf94,S100A8,LRRC17,IL34,GZMA,PNLIPRP1,IGSF21,RSPRY1,RNASE12,GPR133,ANGPT4,PRSS23,TNFSF13,CTHRC1,PVRL4,BB3,RAMP2,GPR3,ABHD12,GDF5,SPP2,AHSG,C4BPB,CNR1,CHRM3,GPR3,OPRL1,SLC22A31,TREML4,UGT1A1,CAC1A_Epitope-9,PRND,WNT8A,CTL4_Epitope-1,SHISA7,CLEC2B,KIR2DL2,NPFF2,GAS1,SRPX2,HHIP,FLT3LG,PLA2G2A,PCYOX1L,AMHR2,PLBD2,ADRB1,CPB1,TNFRSF5,NOTUM,TSPAN7,CHIA,SIGLEC16,TMEM8B,ITGB1,NTRK3,CGB3,NPY2R,APOA5,HMGB2,DCST2_Epitope-2,INS,BTLA,CD226,C12orf49,DEFB112,CYTL1,TNFRSF10C,CDCP2,NMDE2_Epitope-2,LEFTY2,TFPI2,IGHD-Fc-N,PDGFB,CAC1F_Epitope-12,DLL4,FAM3C,DEFB136,C2orf40,PDILT,CALR3,SCARA5,SIGLEC12,THNSL2,ANO9_Epitope-4,GRM4,PSG6,LALBA,AGTR2,LCN8,CEACAM18,CALY,IGDCC3,SCN9A_Epitope-3,C1QL3,CCRL2,TTR,CAC1I_Epitope-12,GFY_Epitope-1,ABCG1,WFIKKN2,CYP2D7,IGIP,SPACA5,CD99L2,LYVE1,GZMK,IL27RA,MFGE8,VASN,VSTM2L,KCNMB2,LGR6,AMN,KIR2DL2,SSBP3-AS1,DKK1,RNASE12,OCSTP_Epitope-3,SEMG2,SMR3A,BAGE2,CST3,CDH11,C12orf49,C5orf64,FSTL3,OPRD1,PDZD11,PTTG1IP,SPARCL1,ADCY5,S12A6_Epitope-3,GPR22,DCD,IL12B,LGALS1,ANGPTL4,SPINK7,NOTUM,CAC1G_Epitope-12,FURIN,IL27RA,PLA2G2F,SLC5A1,GABRG3,UMOD,BTLA,GPC3,PCDHGA4,RNF174,IFNA14,SLITRK5,TM2D2,GPR133,IFITM10,LRFN5,IFNA13,PIGR,DHRS7,PCDHB6,DSA2D_Epitope-1,SLC39A8,PDZD11,TACR3,CD79B,SLC34A2,NMUR1,LY6G6D,SV2C,FCRL4,ANO3_Epitope-3,IL17BR,IGHA1-Fc-N,IL17B,MMP11,SPAG11A,TMEFF2,NLGN4X,CRTAC1,SERPINH1,GPR75,P2RY1,POMC,IL28RA,IL18R1,IL34,S6A18_Epitope-4,ROBO4,C1orf134,TNFRSF19,AVPR1A,GABRG1,ARSB,ERVFRD-1,HTR3D,IL18,PPY,SSTR2,VNN3,PRRT1,KERA,TMEM130,FZD4,GFRA3,GPR52,EPHB2,SGCA,CLDN4,C2orf40,SDC4,LRRTM4,IGHG2-Fc-N,C1QTNF2,CECR9,MYPR_Epitope-2,PTCRA,PLXNA4,WNT9A,CD5,VNN3,OPRM1,SFRP1,S6A17_Epitope-2,GLRA4,LPL,S1PR4,SCNND_Epitope-1,SCGB3A1,DMP1,ACVR2A,C1RL,EMID1,ESM1,AHSG,GKN1,GPR97,IGFL4,CLEC10A,GPR12,PGF,GASK1A,GPR25,KIT,PTPRN2,TRPV1,FCGR3A,UGT2B28,FAM20A,HRC,RSPO4,OTOS,INHBB,MC3R,ANPRB_Epitope-1,CD28,CT83,PATE2,YB043,MMP14,PARM1,PATE4,ROS1,RAMP3,VN1R2,BY55,LY9,GPR133,ENTPD3,MSLN,FKBP11,SHBG,RAMP1,CDH2,GPR148,CLDN11,CD69,CDH22,SCN2B,SERPINB5,LPAR1,ANGPT4,ERVK-7,CELA3B,CLDN17,DPT,CD248,IL27RA,CCL23,CFP,SLC22A31,GPR83,PLGRKT,SSTR5,COV2-S1,HYAL1,P2RX3,TMEM8B,IGFL3,MUC7,DEFB116,GZMB,FLT1,ADAM8,SHISA5,INFL4,CYSLTR2,APCS,GLIPR1L1,CDCP1,DPP7,CAC1D_Epitope-3,CD81,CHRM3,CDH6,COL8A1,PRTN3,SGCA,TMEM8B,IL13,LRRC52,DEFB129,TMPRSS3,EPHB4,FCN2,CD6,SO1C1_Epitope-5,IL22RA1,GHSR,FST,CD3G,GLRA1,TMEM119,LCN2,CD97_1_2_5,OAF,PROM2_Epitope-1,CD1B,IL21,WFDC8,OCSTP_Epitope-2,OVCH1,BDNF,TNFRSF10B,GLRA2,KREM1_Epitope-1,LCAT,UTS2R,DCD,ERVV-1,SIGLEC10,AGTR2,CGB3,IGFBP5,OLR1,CES3,CSH1,CGA,BTC,NCKX1_Epitope-1,MST1,PRELP,C1orf54,GP179_Epitope-1,LRRC8C,IL2RA,CEACAM21,SCGB3A2,STC1,NMUR2,CSF2,ICAM1,GPR110,PM20D1,CD3G,IL10,LGI4,CAC1B_Epitope-9,DIPK2B,GPR20,GUCY2C,HAMP,ITFG1,NRXN1,S39A6_Epitope-1,S6A18_Epitope-2,ENTPD1,SIGLEC8,IL11RA,RXFP3,TNFRSF19L,GUCY2F,SCNAA_Epitope-3,PLVAP,SCN2A_Epitope-3,CGB3,ANPRA_Epitope-1,TGFBI,ITGBL1,GHRHR,AT134_Epitope-6,HCRTR2,NXPH3,GDF10,AJAP1,IL9,RAET1G,OOSP2,CD37,CSPG5,GPER,IGFBPL1,CLEC4E,IL12RB1,KRTDAP,RSPO2,SLC26A2,LDLRAD3,SEMA4C,CNTN5,GCNT7_Epitope-1,GPRC6A,HPN,IL12B,TMEFF2,LRRC3B,FCGR1B,CRTAM,IL28RA,ITGB5,CC50C_Epitope-1,OLFM2,PDZD11,EREG,PLAT,PLAUR,VSTM1,SPACA6P,PRSS33,CLEC10A,RESP18,KIR2DS2,DHRS9,CD6,DEFA6,EAA1_Epitope-2,LILRB3,ISLR2,LIPK,AMIGO3,CELA1,IBSP,GDF6,SCGB1A1,TMEM59,ENTPD2,SOSTDC1,C9orf47,SLAMF7,CCR4,CEACAM18,FCRLB,UNQ6494/PRO21346,IL17F,DEFA1,RNASET2,POMC,CADM2,RNF167,SIGLEC6,LRRC8B,WNT11,PCDHB7,AMBP,BAGE2,HDHD5,IGHA2-Fc-N,LAS2,PDGFB,ASIC4,HYAL4,SEMA3A,ABCA7_Epitope-2,CFP,ENH3,ITGB7,RETSAT,PATE2,KSP37,FCGR2C,SPINK6,TMEM102,KARS,TFPI2,PRSS57,CD97_1_2_5,GYPA,TNFRSF21,APOC3,TULP3,SO1C1_Epitope-5,CSF2RA,KCNMB2,CD3G,DEFA6,GPR142,SCNBA_Epitope-3,LYPD1,PGLYRP3,LRRC21,TRPM3_Epitope-3,GFOD2,SLC34A2,KCNA5_Epitope-1,VSIG2,ARSD,CRELD1,BVES,EPHA2,TEK,ERVH48-1,CCR9,CLEC6A,CEACAM18,CRISPLD2,UGT3A2,LDLR,TMPRSS11D,LOC348174,SIGLEC11,GDPD2,CCL27,C1orf134,CD6,TCTN1,EGFL3,PDIA2,FZD3_Epitope-1,APOD,WISP3,LY6G6C,OTOL1,SPINK13,NGFR,SLC22A5,IGHA2-Fc-N,CREG2,R3HDML,PTX3,ERVK-7,CD163,IL1R2,BAMBI,IL21R,DLK1,CKAP4_Epitope-1,SCUBE2,SERPINI2,CCER2,WFDC2,BGN,LRRC37B,SERPINE1,ASIC5,LRRTM3,UNQ5830/PRO19650/PRO19816,CPN2,LY6G5C,LRRC3B,ABCG8,CD207,ASTN1,HCTR1,IGHD-Fc-N,ERP29,CTSE,KCNK4_Epitope-1,PTPNS1L2,SCG5,TLR3,DPT,IL1RAP,COLGALT2,LRRTM3,NAAA,HPSE2,OR2T1_Epitope-1,CXCL1,BMP2,BPIFA3,BTNL8,NPY1R,TMEM120A,CREG2,LPL,FIBIN,BAMBI,DEFB126,C6orf89,FIBIN,MCP,PSPN,NALCN_Epitope-9,CFP,GPR64,MEP1A,C17orf67,NPFF1,RET,SIDT1_Epitope-1,TNFSF4,TAS1R3,AMHR2,CXCL1,RNASE12,GABRG1,LHCGR,NCKX2_Epitope-1,OC90,CEACAM19,ACVR2A,LHFPL6,FKBP9,GKN1,LPAL2,GLP2R,SLC22A20P,CLEC4F,PMCH,NALCN_Epitope-3,CNNM2_Epitope-1,BMP2,MANSC1,ABCG1,CCL22,CSF2RA,GGH,FUCA1,TINAGL1,DEFB108B,ABHD12,IL27RA,OBP2A,IL18,RNASE4,SIGLEC9,ALCAM,SCARA3,BTN3A3,GPR110,AZGP1,EPCAM,SLCO2B1,SPACA4,PIGR,IGFBP6,CCL14,IL7,SCN9A_Epitope-3,KLK7,SLCO2B1,SLC22A31,FSHB,ST14,EMCN,CHGA,SL9A1_Epitope-1,SLC6A9,PF4V1,PRDX4,CLDN18,SELL,C17orf77,CD3G,PRR27,SGCG,BMP3,UGT3A2,CAC1D_Epitope-12,CT83,RSPRY1,SIGLEC14,PECAM1,AGRN,BMP3,CNR1,CLDN4,FST,GFOD1,SFTA3,CALR3,TM9SF1,WNT10B,KLRC1,ANGPTL1,IL17RA,NPTX2,TTR,SCG5,SPOCK3,P2RX4,VPREB3,WFDC1,SCGB2A1,CCL17,NXPH4,YB043,RNASE8,SGCE,DEFA5,GPR182,NTRK3,OC90,CRLF1,AHSG,CST5,LIPN,SIGLEC11,MCEMP1,PSCA,KDELC1,IGHD-Fc-N,TRABD2B,ADGRE5,AGRF4_Epitope-1,S6A16_Epitope-2,LHFPL6,FCGRT,ICOSLG,LRRN5,PRRT1,CLDN2,CLPTM1,CST11,GDF15,GPR82_Epitope-4,LYNX1,CRELD1,DKKL1,NETO1,LHFPL1,ODAPH,WNT6,APOA2,CD3G,GKN1,NTF5,CTSH,APLP1,GPR133,LGI1,PEBP4,CLPS,GABRR3,GDF7,IL1R2,HEXA,PRSS50,SCGB3A1,LILRB3,TMEM182,TOR1A,PTPRN2,S1PR1,CHRNA3,CR1L,VSTM2B,MICB,ITGB1,SERPINC1,PROCR,AXL,CCL2,PEBP4,PI3,TRPM3_Epitope-3,SLC6A20,C1QBP,TLR2,PCDHB16,KIR2DS2,LINC00527,ERVV-2,LCAT,CLDN4,PRCP,TNFRSF10D,IL2RB,FCMR,HEPACAM2,CHGA,B3A4_Epitope-1,FBLN2,GFRAL,GKN3P,GRIA2_Epitope-2,SLC2A13,ZP3,OCSTP_Epitope-2,IL31RA,TMC3,CXCL12,SPACA1,IL17D,ERVV-2,AMHR2,GPR32,LIF,TM9S4_Epitope-1,WNT4,IL11,METTL9,CLPTM1L,CCRL2,NCAN,CPAMD8,SPACA1,C6orf25,GKN3P,SCN8A_Epitope-3,ISLR2,HPX,IL13,TCTN2,FAM171A1,BRICD5,GYPC,SHISA2,TNFRSF25,CAC1G_Epitope-9,EFNA2,SCNBA_Epitope-3,PCDH20,TOR2A,NTF3,DEFB113,TFF2,CRISPLD2,ART5,GPR151,BTN3A1,APOA5,GPR133,RSPO4,NTRK3,UNC5B,AVP,ALPPL2,PODXL2,FCGR2C,NIPAL1,C1QA,POMC,KIRREL3,CAC1I_Epitope-12,LRRC4B,SLC34A2,DEFA1,XG,LRRC4,CADM1,DRAXIN,FAM171A1,PNLIPRP2,MCFD2,TIMP3,IFNA8,MCP,ZPBP,SSTR3,ADAMTS16,AZGP1,ODAM,C1QA,VNN1,PLA2G2E,LRRC25,ORM2,PLA2G10,4F2_Epitope-1,GRN,C6orf25,MMP20,MUC15,ADPGK,PCDHB9,ERVV-2,CDH7,NPCL1_Epitope-5,CCBE1,SLC22A9,SCGB2B2,CFB,CTL2_Epitope-1,LGI1,SCN2B,LPL,CST9,NCSTN,CYP2D7,GPHB5,SLC10A4,PRF1,GHRHR,CD81,CD33,SCGB3A2,CSF1R,SPINK9,TSHB,CTSW,BAGE3,PAP,LHB,LAYN,FSTL4,KCNMB1,SIGLEC7,CCL23,TMEM108,TMEM119,TMEM178B,TSLP,CRP,ITGA5,SOSTDC1,CCL21,CLEC6A,SIGIRR,TREML1,IL1R2,FCGR1A
Barcode,x14438,x05951,x13516,x35725,x36452,x19111,x16497,x24848,x43254,x59268,x34119,x12700,x09010,x47433,x34907,x17313,x27537,x31575,x62571,x00230,x14084,x17392,x21386,x46103,x65703,x14868,x11824,x24127,x59901,x05779,x09891,x60835,x68261,x09498,x67494,x34307,x14086,x64477,x43669,x48019,x05250,x15277,x42006,x02882,x09652,x63436,x21228,x06361,x64623,x29183,x44887,x52032,x59650,x69689,x27756,x06686,x42367,x25105,x24946,x58459,x01784,x34812,x15556,x39431,x49923,x40866,x63194,x48465,x50499,x64769,x32621,x61739,x20674,x50922,x36896,x27290,x59203,x54119,x17177,x04491,x41691,x27157,x03434,x55014,x47325,x40910,x59376,x25172,x37010,x00134,x36712,x29229,x15712,x39786,x14457,x55117,x41496,x62807,x51789,x43313,x14685,x00068,x51160,x46562,x10814,x34511,x42143,x04514,x22955,x01004,x55582,x47542,x52854,x02177,x32435,x63701,x40212,x26091,x19712,x01724,x13650,x43699,x07854,x34457,x07418,x55363,x39348,x37937,x61525,x12853,x23364,x33202,x59089,x12953,x02685,x17387,x00217,x69385,x45299,x01771,x59372,x01595,x30621,x30061,x69617,x40549,x57967,x01314,x11094,x60058,x45676,x04511,x45797,x29310,x46483,x21682,x36362,x02400,x29873,x44040,x52711,x12716,x40159,x22460,x51994,x48881,x32595,x37012,x53317,x13602,x66406,x13513,x66562,x09837,x02739,x16034,x62413,x34318,x09233,x55527,x47829,x43939,x33475,x35572,x26831,x00675,x56049,x26500,x28478,x28567,x56962,x62323,x53411,x29027,x42821,x61977,x37802,x66631,x68767,x40430,x52653,x36294,x07559,x11961,x20902,x24881,x16844,x16191,x33765,x32816,x65907,x16291,x55023,x19028,x30415,x17649,x61017,x35590,x03587,x07541,x45959,x45901,x47606,x30544,x36767,x30564,x20526,x69772,x68450,x41395,x10538,x58585,x56490,x36924,x41394,x45491,x39806,x07431,x14275,x36620,x45127,x40523,x12052,x48106,x43368,x57675,x24965,x20670,x45810,x64850,x39758,x13275,x52024,x00497,x08884,x54022,x56252,x29238,x22368,x64603,x28237,x15143,x34126,x25895,x23512,x41223,x60876,x09612,x53030,x25257,x19684,x18229,x00272,x38702,x26078,x65672,x67900,x26784,x56927,x00489,x50283,x14568,x19177,x13395,x22238,x52868,x42664,x62398,x67380,x65788,x28968,x13311,x12681,x24002,x23603,x55053,x59882,x16017,x39749,x50477,x49264,x56236,x32967,x29565,x59577,x17606,x22537,x38215,x61454,x44033,x09224,x67107,x21162,x46674,x22072,x54223,x24740,x48311,x11124,x47852,x07151,x41801,x16520,x42501,x03408,x05309,x62543,x39150,x03844,x12034,x36208,x40833,x58517,x69624,x44347,x46363,x34440,x14707,x33684,x63127,x55048,x67318,x12361,x43741,x08367,x34800,x29128,x25186,x49438,x45084,x48657,x60280,x65692,x46054,x35312,x31356,x31582,x60006,x60244,x44205,x41600,x27508,x66147,x28734,x45649,x36202,x10467,x46819,x25289,x49404,x02192,x34403,x42511,x29907,x15040,x14176,x45663,x36584,x56078,x49579,x37617,x67680,x57110,x63876,x32878,x12079,x36256,x66326,x05473,x63427,x05000,x33227,x50707,x24616,x08778,x16412,x56743,x03068,x10230,x46159,x11999,x24291,x57000,x64308,x26810,x07009,x28344,x19822,x59841,x20488,x34569,x31889,x04896,x57718,x57897,x68748,x13582,x05550,x07545,x06811,x46027,x41345,x48328,x41025,x03387,x33177,x28603,x30411,x14497,x57728,x04561,x20246,x01106,x14006,x67938,x30279,x41811,x11877,x49924,x18395,x12275,x63193,x15432,x30185,x59009,x63078,x54692,x25891,x15407,x45274,x61654,x63348,x09770,x30375,x07516,x46681,x58832,x37401,x54434,x45049,x06050,x50254,x47676,x03663,x11069,x06064,x32422,x16229,x02948,x54206,x27636,x15806,x28239,x08542,x43435,x49253,x59340,x37433,x43246,x13169,x29700,x25662,x47652,x36005,x33038,x53798,x53210,x69721,x61048,x05805,x65868,x52909,x48469,x42978,x15964,x34912,x39006,x41272,x18613,x36805,x56447,x57147,x67901,x00402,x04692,x63442,x29387,x39798,x64483,x50257,x46954,x67768,x08394,x60976,x33156,x64387,x24609,x69377,x66741,x18059,x50848,x19029,x58822,x13390,x02068,x22801,x61466,x00555,x33585,x44534,x40672,x52493,x48612,x01547,x02716,x18591,x58241,x29159,x63168,x63975,x45173,x66843,x58809,x37781,x17850,x68718,x20389,x48665,x55566,x12598,x59539,x50760,x33999,x17378,x51422,x14206,x60243,x57104,x27550,x17246,x45969,x60753,x47743,x30347,x38832,x09656,x47085,x55905,x14773,x35799,x32646,x22188,x03042,x53466,x29181,x47238,x31804,x61892,x12277,x68166,x48123,x41284,x55997,x29884,x46528,x43352,x67712,x11810,x23149,x08138,x52735,x67544,x00576,x37053,x48860,x65297,x16358,x67942,x24621,x64612,x01497,x62866,x28096,x42464,x60759,x18192,x34249,x67273,x58983,x58564,x32448,x22355,x35137,x59639,x06225,x00688,x39189,x19574,x01289,x59586,x20757,x29065,x11261,x14155,x16842,x61361,x09328,x08914,x53220,x29613,x40130,x17893,x11044,x06851,x44679,x17258,x09785,x32647,x47291,x29056,x29226,x67789,x17539,x61137,x36240,x05176,x02377,x14750,x69055,x60050,x20250,x56111,x38295,x28421,x39167,x05898,x17957,x67363,x25461,x55602,x32297,x63862,x52934,x31329,x66687,x32853,x51595,x27509,x18507,x11495,x57666,x36133,x60010,x11323,x11791,x55032,x56431,x62295,x33427,x40307,x65274,x54332,x48630,x69330,x20117,x61849,x36491,x36389,x06729,x35890,x38213,x67568,x40627,x02006,x39025,x00847,x05714,x06313,x36006,x47948,x62939,x10731,x46005,x65363,x64283,x03431,x48086,x56626,x08920,x36357,x25203,x65424,x26213,x36997,x55030,x59032,x15714,x08002,x64289,x40689,x10450,x18592,x62025,x15928,x21378,x08980,x30604,x59403,x42847,x37236,x65071,x33943,x51921,x34771,x67168,x11642,x45625,x69172,x55724,x26848,x61273,x31498,x34866,x21267,x20099,x67173,x29524,x69182,x65945,x27081,x52884,x08335,x60191,x33191,x67461,x16783,x07394,x50398,x62943,x51543,x00937,x46500,x10107,x14446,x11804,x33565,x20505,x08977,x36096,x53005,x25385,x36077,x27098,x06428,x40300,x27964,x35617,x03924,x65840,x65931,x06479,x10765,x48143,x33181,x02481,x11486,x20357,x04656,x66674,x38449,x65975,x58800,x57901,x31571,x32723,x09227,x40196,x02994,x46602,x49868,x63417,x51123,x68269,x43668,x55015,x28839,x48794,x41776,x63911,x67278,x28522,x53217,x64745,x65549,x30733,x12008,x49763,x17478,x59322,x13099,x65866,x58886,x03080,x09337,x08243,x45080,x29196,x60795,x33056,x14452,x36551,x22804,x46862,x31295,x11773,x11656,x48074,x36795,x59298,x35407,x58167,x02681,x27532,x13180,x54836,x45037,x03527,x35626,x40774,x04322,x56704,x14468,x38538,x68897,x25846,x29775,x19970,x49827,x64009,x61331,x26103,x20249,x25727,x13398,x22576,x64794,x56365,x38932,x64786,x31404,x69350,x18784,x50206,x06036,x11054,x43071,x63125,x35511,x63105,x18381,x06927,x63878,x34382,x53253,x06174,x10431,x49630,x44199,x34214,x19585,x47901,x12842,x42260,x57702,x58322,x36272,x66185,x30707,x17860,x65157,x12897,x07818,x39128,x19316,x27234,x59359,x42563,x58798,x34184,x43112,x51751,x62835,x02666,x18330,x66801,x02474,x11867,x47621,x39626,x10895,x43783,x20895,x14376,x31676,x41945,x16896,x37780,x62852,x36858,x42005,x48959,x53450,x62755,x47527,x42659,x34719,x59936,x69114,x66591,x05820,x17391,x57270,x21991,x60808,x35234,x30551,x05338,x66832,x45307,x39056,x00615,x51565,x27673,x02492,x12343,x51261,x13809,x42774,x12811,x01918,x03533,x25890,x19083,x58096,x56779,x15044,x32144,x61818,x13756,x50108,x59868,x02535,x04667,x33027,x08438,x62407,x12164,x59146,x03149,x17181,x50060,x46042,x01112,x46379,x21569,x43954,x55881,x13257,x09917,x24043,x20227,x61550,x62006,x58062,x14348,x36064,x59202,x68729,x33389
Pre-run2-plt20,17,94,19,146,18,55,0,2,0,395,43,1,0,20,0,0,13,46,29,72,113,64,0,0,48,0,0,94,0,1,14,10,72,18,68,104,12,18,0,90,0,24,5,0,1,0,0,0,0,0,5,0,1,28,40,15,2,35,1,6,9,3,0,25,0,0,0,0,0,0,461,0,36,43,1,16,11,14,16,0,0,54,0,41,0,13,32,0,153,0,0,23,4,151,427,19,0,0,0,0,3,7,7,23,0,59,0,45,82,0,23,0,64,132,1,114,0,0,54,7,0,0,0,0,25,0,25,0,22,1,0,0,0,12,0,71,2,0,85,97,28,0,0,16,0,174,0,4,0,0,51,14,1,0,4,1,0,46,0,0,0,37,0,0,78,0,0,0,33,59,27,27,29,0,61,0,29,0,0,27,52,80,45,72,0,0,27,33,0,0,60,80,63,56,0,0,0,25,10,37,0,0,194,78,0,36,0,46,66,0,15,0,0,0,14,0,0,0,45,14,62,15,206,0,15,0,0,15,12,17,35,0,17,56,54,45,11,51,0,44,35,0,1,0,41,83,57,149,39,31,102,0,73,9,0,0,0,0,66,29,79,3,16,0,286,0,0,26,0,83,7,14,5,0,180,0,19,26,0,0,0,21,102,47,36,32,0,48,25,0,12,0,17,4,9,18,29,21,94,0,14,103,13,0,0,0,1,21,12,0,30,78,32,0,51,38,0,0,84,0,0,0,3,27,0,0,12,22,7,23,11,18,17,86,15,39,0,38,43,57,52,2,41,0,133,0,0,0,42,0,0,1,0,0,81,39,15,22,102,16,17,314,0,64,13,32,76,0,0,25,0,0,0,0,0,0,0,67,58,17,278,0,0,14,126,34,12,10,33,92,113,24,3,0,0,80,26,0,26,2,104,3,48,0,2,0,0,67,0,12,0,0,73,0,2,177,0,652,4,56,48,0,0,0,30,31,10,0,0,0,15,14,24,0,28,0,0,1,0,0,0,1,0,31,43,0,68,0,0,7,0,0,0,29,0,0,36,79,14,14,184,64,83,48,677,0,0,0,54,0,0,0,0,17,98,62,0,0,0,0,0,86,0,33,51,0,0,0,33,3,36,18,0,0,0,24,0,3,7,51,20,25,36,9,29,0,41,1,0,0,11,53,0,0,150,20,44,8,35,0,61,8,0,137,46,15,0,144,0,358,0,18,18,99,5,22,11,0,0,38,91,0,0,0,0,74,153,0,13,20,141,41,0,0,0,0,0,57,512,0,198,2,2,0,34,0,14,0,0,0,16,104,182,14,0,29,43,81,42,11,22,0,16,0,0,237,0,24,0,0,73,20,0,5,53,0,0,39,0,0,3,0,59,81,46,35,0,99,0,20,10,120,0,20,13,12,6,32,6,53,4,146,30,0,109,0,245,0,0,53,0,0,153,16,0,0,0,0,7,0,3,0,27,1,0,49,0,0,112,1055,0,135,0,0,101,25,0,0,0,7,0,0,8,0,0,0,0,0,0,0,40,46,34,0,0,0,15,1,57,34,0,40,116,18,0,0,97,7,0,21,97,29,1,12,3,0,37,30,0,27,0,33,4,0,56,51,0,0,112,0,39,0,0,0,0,22,300,0,0,44,0,0,40,41,0,17,17,62,50,40,26,21,6,29,0,77,119,360,0,1010,0,9,0,0,0,91,83,0,35,0,51,17,48,0,0,44,18,11,0,0,0,0,1,0,0,71,13,0,0,32,44,0,0,26,0,0,29,0,7,4,95,0,20,6,9,71,0,5,70,0,0,26,49,0,47,0,0,0,0,0,0,0,17,3,17,2903,67,43,33,46,0,3,285,1,8,33,0,0,17,15,0,4,0,87,0,21,0,139,26,110,0,0,0,32,0,0,15,39,0,20,0,58,38,0,120,0,97,15,64,19,21,0,0,2,104,0,0,149,0,0,15,27,76,0,0,54,10,9,29,0,0,0,0,10,0,0,1,0,0,17,51,85,61,74,0,0,89,8,0,25,10,2,0,99,83,0,98,92,9,0,0,44,41,0,0,29,144,13,0,28,47,0,0,34,0,88,10,13,0,35,109,52,79,0,0,0,25,0,19,67,0,1,0,1,28,0,1,10,0,29,19,14,1,0,0,18,81,116,35,84,62,12,69,93,31,1,32,45,1,0,76,5,63,12,19,4,8,31,51,71,13,34,0,0,1,34,0,52,0,60,0,25,0,23,23,53,32,104,43,3,7,91,62,396,0,13,0,29,0
